اشکبار	aSkbAr
دسامبر	desamr
کشندگی	koshandegi
هرمزدگان	hormozdegan
ضد‌‌اجتماعی	zeddeejtemai
انجم	anjom
ذاتی	zati
چپ‌روی	chapravi
ظهیرالاسلام	zahiroleslam
شکردان	shekardan
شماس	shammas
نمک	namak
ابدال	abdal
متقارب	moteghareb
نورافشانی	nurafshani
منطقه‌بندی	mantaghebandi
امیرمنصور	amirmansour
صنوبری	senoubari
سردست	sardast
کوژ	kuzh
صلح‌جویی	solhjuyi
ننه‌مریم	nanemaryam
زبر‌و‌زرنگ	zebrozerang
حق‌السکوت	haghghossukut
مقالات	maghalat
مستخدمی	mostakhdemi
سالار	salar
یوسفی	yusefi
خوشمزگی	khoshmazzegi
مادروار	madarvar
حفر	hafr
کوزوو	kozovo
گوئی	gouei
دوائر	davaer
برزخی	barzakhi
جلسه‌ای	jalasei
امدادگری	emdadgari
سازش‌ناپذیری	sazeshnapaziri
کس	kas
بی‌اخلاقی	biakhlaghi
لامسه‌ای	lamesei
مان	man
پرکار	porkar
قهرمان‌‌پروری	ghahremanparvari
دسته‌جات	dastejat
هزلیات	hazlieeat
متعلقات	motealleghat
یورغه	yorghe
یخه	yakhe
اندونزی‌تبار	andonezitabar
کوتاه‌فکر	kutahfekr
مشکین	meshkin
متولد‌شده	motevalledshode
مخالف	mokhalef
سوف	suf
گزارنده	gozarande
شمعدان	shamdan
تراز	taraz
مهتر	mehtar
کوته‌‌فکر	kutahfekr
ماکت	maket
پارسیان	parsiyan
محمودآباد	mahmoudabad
میرداماد	mirdamad
نواگر	navagar
استحباب	estehbab
پپتید	peptid
چلچراغ	chelcheragh
یاسمی	yasemi
لولاگر	loulagar
تفرجی	tafarroji
عصرانه	asrane
اجراکننده	ejrakonande
طرف	taraf
دکالیتر	dekalitr
طائر	taer
موقعیت	mougheieeat
آسیائی	asiyai
التماس	eltemas
تشدیدگر	tashdidgar
گازانبری	gazanbori
هالتر	halter
نفس	nafas
لانولین	lanolin
گمار	gomar
خال	khal
رعد‌و‌برق	chadobargh
سارتر	sarter
تصحیف	tashif
بنیان‌کن	bonyankan
بتهون	bethoven
معیری	moaeeri
ارنب	arnab
انکشاف	enkeshaf
سود‌‌برنده	sudbarande
آقاجانیان	aghajaniyan
کوژی	kuzhi
محجبه	mohajjabe
تابعی	tabei
محافظه‌کارانه	mohafezekarane
نمادین	namadin
فکی	fakki
مهر‌آباد	mehrabad
گریه‌کنان	geryekonan
الکتروفورز	elekteroforez
خواجو	khaju
بخشدار	bakhshdar
براهین	barahin
بوسه	buse
بهبود‌دهنده	behbuddahande
کم‌‌اولاد	kamoulad
بدفهمی	badfahmi
ثابت	sabet
سیم‌‌کارت	simkart
کرویان	koraviyan
موازات	movazat
فرازمینی	farazamini
دمان	daman
تحقیق‌شده	tahghighshode
پست‌فطرت	pastfetrat
هاورکرافت	haverkeraft
زپرتی	zeperti
اتوشویی	outushuyi
سواد‌آموز	savadamuz
بناپارت	benapart
نگهداری	negahdari
گول	gul
عبیر	abir
ماتیوس	matiyus
سلولوز	selluloz
فرونشست	foruneshast
عدالت‌‌جویی	edalatjuyi
کلیسا	kelisa
تماسی	tamasi
اکسی‌توسین	oksitosin
فیلیپس	filips
باستان‌شناسانه	bastanshenasane
اهداکننده	ehdakonande
حشرات	hasharat
دل‌آگاه	delagah
اسب‌سوار	asbsavar
متفکرانه	motefakkerane
عصا	asa
آسفالت	asfalt
نور	nur
لوبیایی	lubiyayi
صبوح	sabuh
روباتیک	robatik
رئوس	rous
تقیید	taghyid
مغناطیس	meghnatis
الشیخ	ashsheykh
ثبت‌نام	sabtenam
بدمستی	badmasti
غیر‌‌سفید‌‌پوست	gheyresefidpust
بلوک	boluk
روا‌‌ن‌شناس	ravanshenas
خواه‌ناخواه	khahnakhah
جبن	jobn
قرعه‌کشی	ghorekeshi
یخ‌دربهشت	yakhdarbehesht
معراج	meeraj
یکتا	yekta
بموجب	bemoujebe
آبی‌رنگ	abirang
گرشاسبی	garshasbi
حلول	holul
قنادزاده	ghannadzade
عایشه	ayeshe
کاشی‌سازی	kashisazi
کویر	kavir
اصطلاحی	estelahi
بالندگی	balandegi
عادلانه	adelane
سرتیپی	sartipi
اکرام	ekram
بازداشتگاه	bazdashtgah
بزرگ‌منش	bozorgmanesh
سازماندهی	sazmandehi
غمخانه	ghamkhane
زشتی	zeshti
ارسنیک	arsenik
قلع	ghalبیوک	biyuk
غالی	ghali
یونایتدپرس	yunaytedperes
ماتریالیستی	materyalisti
ابداع‌کننده	ebdakonande
مدحیه	madhiee
رهبریت	rahbarieeat
زره‌پوش	zerepush
پاسیار	pasyar
افسارگسیخته	afsargosikhte
لوله‌کش	lulekesh
قلاش	ghallash
باستیون	bastiyon
پیت	pit
زلزال	zelzal
تکاپو	takapu
فوریتی	fourieeati
دخالت	dekhalat
پدربزرگ	pedarbozorg
کمانگیر	kamangir
تربانتین	terebantin
داغداغان	daghdaghan
باشو	bashu
گود	goud
سینه‌‌خیز	sinekhiz
رشد‌و‌نمو	roshdonemov
گاو	gav
مستظهر	mostazhar
عدول	odul
های‌های	hayhay
مستحب	mostahabb
بزن‌بزن	bezanbezan
بلسان	balsan
تصویرسازی	tasvirsazi
بادزده	badzade
بیعت	beyat
آشکارساز	ashkarsaz
گشاینده	goshayande
پولاد	pulad
بر‌طبق	bartebghe
معضل	mozal
ناگفته	nagofte
کبابه	kababe
خردمندی	kheradmandi
کروم	korom
حله	holle
زیرگذر	zirgozar
دوروبر	dourobar
فروکتوز	feroktoz
بی‌مایه	bimaye
مارخور	markhor
مستندساز	mostanadsaz
لیسه	lise
ثور	sour
فرجامی	farjami
درستکار	dorostkar
هسته	haste
پیست	pist
انقطاع	engheta
پیگرد	peygard
تجدید	tajdid
عشرات	asharat
ویراژ	virazh
نفس‌گیر	nafasgir
بی‌کتاب	biketab
روستایار	rustayar
فوق‌‌الذکر	foughozzekr
ماگما	magma
مدارپیما	madarpeyma
محض	mahz
ناهمخوانی	nahamkhani
هوا‌به‌هوا	havabehava
ارتجال	ertejal
فراشی	farrashi
غربت	ghorbat
بنده‌زاده	bandezade
نفاست	nefasat
گلوبین	gulubin
غضبان	ghazban
غرض‌ورزی	gharazvarzi
صدمه‌‌دیده	sadamedide
بکسور	boksor
تحریری	tahriri
مردم‌فریب	mardomfarib
مادر‌بزرگ	madarbozorg
ابلیس	eblis
گیلویی	giluyi
طاقدیس	taghdis
عفو	afv
سوپرانو	suprano
چپاولگری	chapavolgari
پشت	posht
کاراکتر	karakter
طناز	tannaz
انکیزیسیون	ankizisiyon
ریان	raeean
چو	cho
حقه	haghghe
اسهالی	eshali
ایوبی	aeeubi
سبحه	sobhe
نخل	nakhl
ورا	vara
سنب	sonb
بی‌انگیزه	biangize
کشیدگی	keshidegi
مختصه	mokhtasse
بی‌کفایتی	bikefayati
تجلیل	tajlil
کلیددار	keliddar
پاییز	payiz
اپسیلن	epsilon
نظام‌دار	nezamdar
بزباش	bozbash
پرتماشاگر	portamashagar
سفالین	sofalin
اورژانس	ourzhans
سوت	sut
سرمایه‌دار	sarmayedar
سمسارزاده	semsarzade
شناخته‌‌نشده	shenakhtenashode
چشم‌وچار	cheshmochar
ترکه	tarke
لختگی	lakhtegi
مولودی‌خوانی	mouloudikhani
شویاند	shuyanad
معتمدالدوله	motamedoddoule
غنو	ghonu
شلیاق	shalyagh
فرانسیسکو	feransisko
اثر‌گذار	asargozar
کرم‌‌پور	karampour
ایران‌نژاد	irannezhad
مظفریان	mozaffariyan
راگبی	ragbi
شک	shakk
شهامت	shahamat
کم‌‌مایه	kammaye
زیپو	zippo
هشتصد	hashtsad
باراند	barand
عمری	omri
موجه	movajjah
فینیقی	finighi
کهن	kohan
فسیل‌‌شده	fosilshode
پلنگی	palangi
قانون‌‌مداری	ghanunmadari
کژاندیشی	kazhandishi
وزارت	vezarat
بی‌ضرر	bizarar
مقسوم	maghsum
فلز	felezz
ثلث	sols
جلایی‌پور	jalayipour
تسبیح	tasbih
خیشوم	khishum
وحشتناکی	vahshatnaki
فهلوی	fahlavi
عرش	arsh
یکسان	yeksan
مرا	mara
شخصیتی	shakhsieeati
بلبله	bolbole
فریادکنان	faryadkonan
فرضیه	farziee
تنش‌زدایی	taneshzodayi
خوزستان	khuzestan
منزلتی	manzelati
دهلیز	dehliz
منداب	mandab
فیش‌‌برداری	fishbardari
راهبری	rahbari
تویسرکان	tuyserkan
غیرچاپی	gheyrechapi
سفیر‌کبیر	safirekabir
سایه‌گستر	sayegostar
فیلمبردار	filmbardar
والاگهر	valagohar
سردخانه	sardkhane
خرطومداران	khortumdaran
دروغ‌بافی	dorughbafi
تکفام	takfam
زیگما	zigma
بی‌علاقگی	bialaghegi
پیش‌پرداخت	pishpardakht
مرغابی	morghabi
نورخان	nurkhan
جلالوند	jalalvand
محرف	moharraf
اشرفی	ashrafi
کیلو	kilu
مسالک	masalek
اوستا	avesta
دهانه	dahane
ملالت‌بار	malalatbar
زعامت	zeamat
شوهرخواهر	shouharkhahar
تراوا	tarava
غایی	ghayi
هم‌سویی	hamsuyi
کژراهه	kazhrahe
علف‌چر	alafchar
بدیهه‌سرایی	badihesarayi
آی	ay
دوشیده	dushide
تخاصمی	takhasomi
ژیمناست	zhiminast
حاضر	hazer
پشتکاری	poshtkari
فرانسیم	feransiyom
زشت‌خو	zeshtkhu
طقطقی	taghtaghi
پایمردی	paymardi
گرانبها	geranbaha
دره	darre
نیروسنج	nirusanj
ظریفی	zarifi
گیوه‌دوز	givedouz
متالوگرافی	metalogerafi
دفع‌کننده	dafkonande
عکس	aks
بر‌علیه	baralayhe
ثابت‌زاده	sabetzade
پیستونی	pistuni
نخورده	nakhorde
آجودانیه	ajudaniee
کنس	kenes
قرابه	ghorabe
حادثه‌ای	hadesei
پذیرفته	pazirofte
جمالپور	jamalpour
ثانیه	sanie
خاست	khast
پرتعداد	porteedad
بابیگری	babigari
تبرزد	tabarzad
فرچه	ferche
تتمه	tatamme
رکیب	rakib
خیش	khish
آب‌خورده	abkhorde
مقطر	moghattar
دیکتاتورمنش	diktatormanesh
فروتنانه	furutanane
چپر	chapar
چهارچوب	chaharoub
فرصت‌‌طلبانه	forsattalabane
اتمی	atomi
فشنگی	feshangi
فروبرد	forubord
استیلن	estilen
فیروزنیا	firuzniya
معنابخش	manabakhsh
غم‌‌نامه	ghamname
تخصص‌گرایی	takhassosgerayi
شب‌‌کوری	shabkuri
مثمن	mosamman
مرجانیان	marjaniyan
مدعا	moddaa
جذام	jozam
سولفور	sulfur
اسرافیل	esrafil
زیبایی‌شناسی	zibayishenasi
پیش‌فنگ	pishfang
لبخند	labkhand
فلانی	folani
حرج	haraj
آموکسی‌سیلین	amoksisilin
دوخت	dukht
رولور	rovelver
نیما‌یوشیج	nimayushij
بی‌ضابطه	bizabete
باور‌کردنی	bavarkardani
نه	na
ملاء	mala
یاددهی	yaddehi
کیبورد	kibord
لاکتوز	laktuz
بددین	baddin
پررویی	porruyi
کمیسیونی	komisiyoni
با‌تدبیر	batadbir
خرم‌آبادی	khorramabadi
حکیم‌زاده	hakimzade
رکسانا	roksana
عشرت‌‌طلبی	eshrattalabi
مرغزار	marghzar
کلاله	kolale
مسحور	masur
بی‌تدبیری	bitadbiri
خاک‌نشین	khakneshin
کشت‌‌و‌‌زرع	keshtozarعبورومرور	oburomorur
روبنده	rubande
گل‌گل	golgol
ناخدا	nakhoda
سعادتمندی	saadatmandi
غلتید	ghaltid
اصطلاح‌نامه	estelahname
مدافعه	modafee
لشاب	lashab
بدعنق	badonogh
عاشق‌‌کشی	asheghkoshi
بینه	baeene
تپنده	tapande
عرفانی	erfani
غلام‌‌زاده	gholamzade
مطایبه	motayebe
کوش	kush
پرسود	porsud
فوتی	fouti
اموال	amval
دورکیم	dorkim
جستجوگرانه	jostejugarane
سجیه	sajiee
طلاتپه	talatappe
قدوم	ghodum
دادار	dadar
درشکه	doroshke
تماس‌گیرنده	tamasgirande
کدری	kederi
منصورآباد	mansourabad
ناملایم	namoliem
کوپر	koper
زلالی	zolali
دلائل	dalael
اعتلاء	eetela
مقره	magharre
گندروی	gandruy
دیرهنگام	dirhengam
خمارآلود	khomaraloud
کابوی	kaboy
مقلد	moghalled
آفت‌کشی	afatkoshi
گندی‌شاپور	gondishapour
آفتابه	aftabe
هندسه	hendese
التهاب	eltehab
همخانه‌ای	hamkhanei
همه‌روزه	hameruze
نوره	nure
بی‌سرپناه	bisarpanah
کشانیده	keshanide
نورزی	nurzi
مقابل	moghabel
مغفرت	maghferat
چک‌چک	chekchek
حیا	haya
موزائیک	muzaik
عدن	adan
نانومتری	nanometri
ماجراجویی	majarajuyi
شب‌‌ادراری	shabedrari
بالارده	balarade
فرانسیسی	feransisi
دورافتادگی	duroftadegi
محلول	mahlul
احتراق	ehteragh
محنت‌بار	mehnatbar
کشتارگاهی	koshtargahi
کمال‌‌زاده	kamalzade
نحله	nehle
سربی	sorbi
عمق‌یاب	omghyab
شرکت	sherkat
آگاهان	agahan
پرنور	pornur
بنابر	banabar
بریل	bereyl
اصیل	asil
لهیدگی	lehidegi
حاسب	haseb
اقلیم	eghlim
غددی	ghodadi
خورشید	khorshid
پنج‌در	panjdar
بت‌پرستی	botparasti
تطهیر	tathir
آرمگاه	aramgah
بلال	balal
آب‌زیرکاه	abzirekah
سرگرمی	sargarmi
بیدزار	bidzar
دست‌راست	dastrast
هشام	hosham
استعاره‌ای	estearei
زیرخانواده	zirkhanevade
آرامش	aramesh
سرمازایی	sarmazayi
درهم‌ریزی	darhamrizi
ناگاتا	nagata
محجر	mahjar
کله‌‌پا	kallepa
اهدائی	ehdai
دندان‌پزشک	dandanpezeshk
مقدونیه	maghduniee
فراهانی	farahani
آداپتور	adaptor
ورپریده	varparide
گیربکس	girboks
اهورا	ahura
یک‌سونگری	yeksunegari
اولیائی	ouliyai
زاگرب	zagreb
موذیگری	muzigari
جداشدگی	jodashodegi
مدلل	modallal
گلوله	golule
بداخمی	badakhmi
چهل‌دختر	cheheldokhtar
بروکسل	boruksel
تاندون	tandon
عقلانی	aghlani
کپل	kapal
بازوفیلی	bazofili
عاری	ari
چکمه‌پوش	chakmepush
رنگ‌شناسی	rangshenasi
تسری	tasarri
آهن‌فروش	ahanfurush
نپالی	nepali
اخلاق‌گرایی	akhlaghgerayi
آه	ah
هم‌قطار	hamghatar
کارزار	karzar
درشت‌خوار	doroshtkhar
نشت‌یاب	nashtyab
تیمسار	timsar
چاپگر	chapgar
رومانی	romani
بدین‌جهت	bedinjahat
برنادوت	bernadot
رسوخ	rusukh
شبستری	shabestari
یکسان‌سازی	yeksansazi
بی‌بلا	bibala
رخساره	rokhsare
بداختر	badakhtar
خویشاوندی	khishavandi
روشنایی	roushanayi
روزه‌داری	ruzedari
رهوار	rahvar
آلومینیوم	alominiyom
رئیس‌جمهوری	raisjomhuri
بی‌شریک	bisharik
امنا	omana
تناسب	tanasob
پردوام	pordavam
نهال	nahal
قماش	ghomash
نامستحق	namostahaghgh
آخرسر	akharsar
دوتار	dotar
کیارش	kiyarash
تمامیت‌خواه	tamamieeatkhah
مخففه	mokhaffafe
کدورت	kodurat
مد	madd
بز	boz
مارشال	marshal
پیه‌سوز	pihsuz
عروض	aruz
ای	ey
معذالک	mazalek
رویگردان	ruygardan
وفاق	vefagh
دخت	dokht
دوسویی	dosuyi
زخمی‌شده	zakhmishode
بدمست	badmast
آرشیویست	arshivist
آزمایش‌شده	azmayeshshode
گلخن	golkhan
دمکرات	demokrat
بوفالو	bufalo
پرکشش	porkeshesh
میهن‌پرست	mihanparast
شکوف	shekuf
موعظه‌آمیز	mouezeamiz
سیاتیک	siyatik
انعقاد	eneghad
وقفی	vaghfi
شومن	shouman
رشته‌فرنگی	reshtefarangi
زدود	zodud
استروژن	esterozhen
الگوبرداری	olgubardari
دوبه	dube
کامبوجی	kambouji
آرمان‌گرایانه	armangerayane
آیوا	ayva
کو	ku
پان‌ترکیسم	pantorkism
پریشان‌حالی	parishanhali
پشتیبانی‌کننده	poshtibanikonande
غنچگی	ghonchegi
تریکوباف	terikobaf
تجزیه‌کننده	tajziekonande
همتراز	hamtaraz
ساقی‌نامه	saghiname
کویتی	koveyti
من‌و‌من	mennomen
ترفع	taraffo
ترکمنی	torkamani
قشنگ	ghashang
خوشنودی	khoshnudi
خمس	khoms
شریفی‌‌نیا	sharifiniya
مبذول	mabzul
پیرامونی	piramuni
پلاتو	pelato
الهی	elahi
بذری	bazri
سبح	sobah
پیشکاری	pishkari
کم‌‌بارش	kambaresh
خودخواهانه	khodkhahane
درمان‌شده	darmanshode
اجاره‌دار	ejaredar
وعده	vade
زیبایی‌شناختی	zibayishenakhti
حبیب‌‌اللهی	habibollahi
ژیمنازیوم	zhimnaziyom
غلامعلی	gholamali
آب‌گیری	abgiri
مزه	maze
متصرف	motesarref
نصوح	nasuh
کفن‌‌پوش	kafanpush
مجموعه‌ای	majmuei
جایگه	jaygah
سرگشتگی	sargashtegi
همایش	hamayesh
به‌بیان‌دیگر	bebayanedigar
خوش‌دهان	khoshdahan
حکایات	hekayat
آوازخوانی	avazkhani
فلک‌البروج	falakolburuj
خودمختاری	khodmokhtari
جوشانید	jushanid
لولهنگ	luleheng
اشباع‌شده	eshbashode
مرفین	morfin
غیر‌‌قابل‌‌انعطاف	gheyreghabeleenetaf
مقطوع‌النسل	maghtuonnasl
آبشوران	abshuran
عرقخوری	araghkhori
پاوه	pave
برنامه‌ریز	barnameriz
ایلچی‌گری	ilchigari
برزویه	borzuye
قانع	ghanee
اعوانی	avani
محتوائی	mohtavai
کوپال	kupal
ملا‌محمد	mollamohammad
خودم	khodam
جیرو	jiru
ایما	ima
مشاجرات	moshajerat
تیغچه	tighche
متحجرانه	motehajjerane
موقع‌شناس	mougheeshenas
علاء‌‌الدوله	alaoddoule
کردار	kerdar
فرسائی	farsai
ثمرات	samarat
تمام‌رنگی	tamamrangi
کنجدی	konjedi
توسری‌خور	tusarikhor
چرخکار	charkhkar
قفائی	ghafai
شعار	shoar
پارتیزانی	partizani
گلدوز	goldouz
صدفی	sadafi
سیبیلو	sibilu
بهادری‌نژاد	bahadorinezhad
پنج‌نفره	panjnafare
دوجنسی	dojensi
مقتضا	moghtaza
اورشلیم	ourshalim
ناآلوده	naaloude
بدخوابی	badkhabi
موشکی	mushaki
براقی	barraghi
صادره	sadere
آب‌بازان	abbazan
بستگان	bastegan
گرمایش	garmayesh
آزمایشگر	azmayeshgar
مراجعت	morajeat
شهریت	shahrieeat
غامر	ghamer
تصویربردار	tasvirbardar
میوگراف	miyogeraf
ملایک	malayek
یخچال	yakhchal
کشی	keshi
تراژیک	terazhik
مومی	mumi
آلزایمر	alzaymer
المان	eleman
زبیده	zobayde
عفت	effat
همدوس	hamdus
آبکوهه	abkuhe
چوبخط	chubkhat
کریمانه	karimane
کمر	kamar
دستمال	dastmal
باک	bak
گو	gu
مفرغ	mefragh
گلوبولین	gulubulin
مصوبه	mosavvabe
رساننده	resanande
سوگ	sug
نسق	nasagh
موهن	muhen
نانوشته	naneveshte
ازبکان	ozbakan
پرکاری	porkari
کاربردپذیری	karbordpaziri
بامه	bame
جهان‌دیدگی	jahandidegi
نظارت‌کننده	nezaratkonande
خشایارشاه	khashayarshah
مفتعلن	moftaelon
معامله	moamele
تیرکمان	tirkaman
غشدار	ghashdar
گروسی	garrusi
بسر	bosr
ملاقلی‌پور	mollagholipour
نهارخوران	naharkhoran
حسبی	hasabi
ژرف‌نگری	zharfnegari
گستران	gostaran
قاعده‌‌مند	ghaedemand
ایران‌خودرو	irankhodro
روانی	ravani
دبنگ	dabang
عطشناک	atashnak
اتیمولوژی	etimolozhi
سامان	saman
شهد	shahd
به‌تفصیل	betafsil
ذی‌قیمت	zigheymat
آرام‌کننده	aramkonande
فاطمه	fateme
درودی	dorudi
موسیقی‌درمانی	musighidarmani
گل‌آرایی	golarayi
محتلم	mohtalem
فقیهانه	faghihane
جاذب	jazeb
حمیدی	hamidi
صفوف	sofuf
آلرژی	alerzhi
ثبتی	sabti
گیدنز	gidenz
حیدر‌آبادی	heidarabadi
کم‌سوادی	kamsavadi
لگن	lagan
اعتذار	eetezar
چریکه	cherike
یائو	yao
ساوه‌ای	savei
شیاع	shiya
لوس‌آنجلس	losanjeles
گندم	gandom
اطفائیه	etfaiee
چهار	chahar
اکبرزاده	akbarzade
اعطاء	eeta
فائز	faez
آفاق	afagh
فتح	fath
واقعگرا	vagheegara
بوئر	boer
نزار	nazar
آزمایشگاه	azmayeshgah
پولادین	puladin
کلخوران	kalkhoran
دیکتاتور	diktator
هم‌نوائی	hamnavai
پهن	pahn
طین	teyn
باران‌سنجی	baransanji
صرب‌وکروات	serbokorovat
مردم‌دار	mardomdar
بدرقه	badraghe
نورگیری	nurgiri
مارال	maral
بد‌دل	baddel
اردستان	ardestan
دفاتر	dafater
فراش‌‌باشی	farrashbashi
متصف	mottasef
خوش‌مشرب	khoshmashrab
آکریدین	akridin
ظاهرسازی	zahersazi
معلولیت	malulieeat
بی‌خود	bikhod
یکنواختی	yeknavakhti
اسمیت	esmit
باسواد	basavad
کم‌‌فهم	kamfahm
مفروز	mafruz
جماع	jema
چرخاند	charkhand
واریس	varis
ماندنی	mandani
سرلشگر	sarlashgar
گردشگرپذیر	gardeshgarpazir
آزادماهیان	azadmahiyan
سم	samm
ملاکی	mallaki
حور	hur
خرده‌گیر	khordegir
دهل	dohol
راضیه	razie
کلیله	kelile
زرنگار	zarnegar
رسوب‌گذاری	rosubgozari
اشراف‌زاده	ashrafzade
تمنا	tamanna
نساج	nassaj
فیزیوکراسی	fiziyokerasi
کشمیر	keshmir
قرقی	gherghi
صحاح	sahah
جهان‌گستر	jahangostar
جامانده	jamande
گشادی	goshadi
مادرخرج	madarkharj
هدهد	hodhod
مچ‌پیچ	mochpich
ایستایی	istayi
دل‌مرده	delmorde
نجم‌الملک	najmolmolk
جابرانه	jaberane
سال	sal
سازمان‌دهنده	sazemandahande
دژم	dezham
غیرحقوقی	gheyrehughughi
شاتر	shater
بی‌کربنات	bikarbonat
سینهالی	sinhali
تشکیل‌شده	tashkilshode
کلیشه‌ای	kelishei
شوفر	shufer
گریست	gerist
کیوی	kivi
شانزده‌‌سالگی	shanzdahsalegi
گل‌اندام	golandam
بجنورد	bojnurd
حماسه‌سرا	hamasesara
مستوری	masturi
گیلاس	gilas
ورموت	vermut
عاقبت	aghebat
نغمه	naghme
استعمارگرایی	esteemargerayi
خسته‌دل	khastedel
سریانی	soryani
جوجو	juju
تناقض‌آمیز	tanaghozamiz
پیشنهاددهنده	pishnahaddahande
آشفته‌خاطر	ashoftekhater
شهوت	shahvat
تعابیر	taabir
لوز	louz
سپهبد	sepahbod
گا	ga
باوجوداین‌که	bavujudeinke
تفضلی	tafazzoli
آناهیتا	anahita
افزونبر	afzunbar
جنرال‌الکتریک	jeneralelekterik
میرا	mira
فضلا	fozala
جنوبی	jonubi
مقاولات	moghavelat
پارکینگ	parking
نسج	nasj
صداخفه‌‌کن	sedakhafekon
برلین	berlin
کارگردان	kargardan
تقرب	tagharrob
میلادی	miladi
پست	past
منادی	monadi
نهج‌البلاغه	nahjolbalaghe
ریاضیات	riyazieeat
فوق‌‌تخصصی	foughetakhassosi
دغل	daghal
کسوف	kosuf
تورانیان	turaniyan
آبریزگاه	abrizgah
پالود	paloud
گامت	gamet
ته‌گرد	tahgerd
بی‌پولی	bipuli
اسکاتلندی	eskatlandi
تخصیص	takhsis
مشترک‌المنافع	moshtarekolmanafee
براق	barragh
مهندس	mohandes
خوره	khore
جهانگیرخان	jahangirkhan
تهماسب	tahmasb
مخلصانه	mokhlesane
پرچانگی	porchanegi
عمر‌‌خیام	omarkhaeeam
سبحانی	sobhani
نشئه	nashe
متشرع	motesharree
زنده‌کننده	zendekonande
حشیش	hashish
دانه	dane
میخکوب	mikhkub
زهی	zehi
لله	lale
چرم‌سازی	charmsazi
سرخود	sarkhod
روغن‌کاری	roughankari
کج‌کلاه‌	kajkolah
دل‌سیاه	delsiyah
نیمه‌عمیق	nimeamigh
لردگان	lordegan
زواره‌ای	zavvarei
نمک‌به‌حرام	namakbeharam
چلسی	chelsi
کبود	kabud
مو	mou
منچستر	manchester
آبسنگ	absang
فرستاد	ferestad
آمودریا	amoudarya
مهرداد	mehrdad
علیق	aligh
گسله	gosale
فرانچسکو	feranchesko
گشتی	gashti
راندمان	randeman
اصطکاک	estekak
رسائل	rasael
تعریف‌نشده	tarifnashode
شب‌‌چراغ	shabcheragh
نخریس	nakhris
کاردیوگرافی	kardiyogerafi
اجتماع	ejtema
دگرباروری	degarbarvari
موومان	movuman
قره‌‌سو	gharesu
کندیل	kondil
دمی	dami
عربستان	arabestan
شله‌زرد	sholezard
آلبرتی	alberti
هلنیستی	helenisti
شون	shavan
توردوزی	turdouzi
حزیران	haziran
مشایخ	mashayekh
هدایت‌الله	hedayatollah
تارت	tart
حاجی‌فیروز	hajifiruz
اخطاریه	ekhtariee
پادشاهی	padeshahi
زردرو	zardru
سینه‌ریز	sineriz
رسوب‌دهی	rosubdehi
فرا‌‌دست	faradast
نقره‌کوب	noghrekub
فرامرز	faramarz
ضدجاسوسی	zeddejasusi
گازوئیلی	gazoili
قزل‌‌باش	ghezelbash
الایام	alaeeam
به‌غایت	beghayat
الکتروکاردیوگراف	elekterokardiyogeraf
بهر	bahr
شکری	shekari
در‌برابر	darbarabare
مهرجوئی	mehrjouei
تستوسترون	testosteron
غرغرو	ghorghoru
صبحگاه	sobhgah
تابلوئی	tablouei
موریانه‌ها	muryaneha
خارپشت	kharposht
سراشیب	sarashib
تلگرام	telgeram
باره	bare
ناسوت	nasut
پاش	pash
خدائی	khodai
تعزیری	taziri
باری‌تعالی	baritaala
چالشگرانه	chaleshgarane
کوزه‌‌فروش	kuzefurush
یسار	yasar
رقاصی	raghghasi
فرعیات	fareieeat
بی‌تناسب	bitanasob
حراج‌کننده	harajkonande
دهره	dahre
جهان‌شناختی	jahanshenakhti
حوالی	havali
جالیز	jaliz
اشتغالی	eshteghali
شکل‌‌یافته	sheklyafte
مصباح	mesbah
دموی	damavi
دو‌دو	doudou
شناخت‌‌شناسی	shenakhtshenasi
اصراف	esraf
اظهارنامه	ezharname
عباس‌‌میرزا	abbasmirza
ناقض	naghez
روسری	rusari
پرانتز	parantez
علوی‌‌نژاد	alavinezhad
ساده‌اندیش	sadeandish
سلاسل	salasel
فرمول	formul
مافیایی	mafiyayi
افچه	afche
سید	sayed
عطاالله	ataollah
شقه	shaghghe
انسان‌دوست	ensandust
مدیرکل	modirkoll
شیره‌ای	shirei
مسلخ	maslakh
حقیرانه	haghirane
اشک‌ریزش	ashkrizesh
استثمارگر	estesmargar
احتوا	ehteva
انجوخ	anjukh
مواخذه	moakheze
مدام	modam
مورخه	movarrekhe
غم‌‌دار	ghamdar
شمالگان	shomalegan
فک	fakk
جوق	jugh
حارث	hares
لب‌تخت	labtakht
قیفی	ghifi
کارخواه	karkhah
نارس	nares
فاصل	fasel
حالت	halat
افلاطونی	aflatuni
زنده‌دل	zendedel
لهراسب	lohrasb
موج‌خیز	moujkhiz
زان	zan
سروها	sarvha
قرائتخانه	gharaatkhane
شط‌العرب	shattolarab
قورت	ghurt
دامپینگ	damping
مهاباد	mahabad
بالابر	balabar
کتان	katan
قانونمندسازی	ghanunmandsazi
راشی	rashi
آرادان	aradan
مصطلح	mostalah
چرد	chard
ضدزیردریایی	zeddezirdaryayi
خدمتی	khedmati
نزع	nazجکوزی	jakuzi
قابل‌‌حل	ghabelehall
متکدی	motakaddi
میانکوه	miyankuh
بیان‌کننده	bayankonande
دروغین	dorughin
غوثی	ghousi
دلسوخته	delsukhte
وحیدیه	vahidiee
پرتقال	porteghal
باد	bad
پورشاسب	pourshasb
